For True IN False False O 
the False DT False False O 
last False JJ False False O 
few False JJ False False O 
day False NNS False False O 
I True PRP False False O 
have False VBP False False O 
been False VBN False False O 
seeing False VBG False False O 
people False NNS False False O 
talking False VBG False False O 
about False IN False False O 
Yuet True NNP False False B-ORG 
Loy True NNP False False I-ORG 
on False IN False False O 
social False JJ False False O 
medium False NNS False False O 
and False CC False False O 
that False WDT False False O 
reminded False VBD False False O 
me False PRP False False O 
that False IN False False O 
I True PRP False False O 
still False RB False False O 
have False VBP False False O 
not False RB False False O 
blog False VBN False False O 
about False IN False False O 
my False PRP$ False False O 
visit False NN False False O 
to False TO False False O 
Yuet True NNP False False B-ORG 
Loy True NNP False False I-ORG 
( False NNP False False O 
) False NNP False False O 
at False IN False False O 
Chinatown True NNP False False O 
Complex True NN False False O 
Market True NN False False O 
. False . False False O 

My True PRP$ False False O 
partner False NN False False O 
brought False VBD False False O 
me False PRP False False O 
to False TO False False O 
the False DT False False O 
popular False JJ False False O 
stall False VBP False False O 
because False IN False False O 
her False PRP False False O 
mum False VBP False False O 
frequent False JJ False False O 
this False DT False False O 
zichar False NN False False O 
stall False VB False False O 
and False CC False False O 
always False RB False False O 
brought False VBD False False O 
home False NN False False O 
delectable False JJ False False O 
food False NN False False O 
. False . False False O 

The True DT False False O 
stall False VBP False False O 
is False VBZ False False O 
located False JJ False False O 
right False RB False False O 
at False IN False False O 
the False DT False False O 
far False JJ False False O 
end False NN False False O 
of False IN False False O 
the False DT False False O 
hawker False NN False False O 
centre False NN False False O 
near False IN False False O 
the False DT False False O 
corner False NN False False O 
close False RB False False O 
to False TO False False O 
the False DT False False O 
Buddha True NNP False False O 
Tooth True NNP False False O 
Relic True NNP False False O 
Temple True NNP False False O 
. False . False False O 

It True PRP False False O 
wa False VBD False False O 
my False PRP$ False False O 
first False JJ False False O 
time False NN False False O 
visiting False VBG False False O 
the False DT False False O 
stall False VB False False O 
so False IN False False O 
I True PRP False False O 
wa False VBD False False O 
also False RB False False O 
not False RB False False O 
very False RB False False O 
sure False JJ False False O 
what False WP False False O 
to False TO False False O 
order False NN False False O 
. False . False False O 

I True PRP False False O 
decided False VBD False False O 
to False TO False False O 
go False VB False False O 
for False IN False False O 
the False DT False False O 
easy False JJ False False O 
way False NN False False O 
out False IN False False O 
and False CC False False O 
ordered False VBD False False O 
2 False CD True False O 
dish False NNS False False O 
that False WDT False False O 
is False VBZ False False O 
recommended False VBN False False O 
on False IN False False O 
their False PRP$ False False O 
stall False VB False False O 
's False POS False False O 
signage False NN False False O 
. False . False False O 

The True DT False False O 
zichar False NN False False O 
stall False VBP False False O 
is False VBZ False False O 
really False RB False False O 
popular False JJ False False O 
and False CC False False O 
we False PRP False False O 
needed False VBD False False O 
to False TO False False O 
wait False VB False False O 
for False IN False False O 
a False DT False False O 
good False JJ False False O 
40 False CD True False O 
minute False NNS False False O 
for False IN False False O 
our False PRP$ False False O 
food False NN False False O 
. False . False False O 

Salted True JJ False False B-F 
Fish True NN False False I-F 
Chicken True NN False False I-F 
4/5 False NN False True S 

The True DT False False O 
Salted True JJ False False B-F 
Fish True NN False False I-F 
Chicken True NN False False I-F 
wa False VBD False False O 
tender False JJ False False O 
and False CC False False O 
moist False JJ False False O 
. False . False False O 

The True DT False False O 
saltiness False NN False False O 
of False IN False False O 
the False DT False False O 
salted False JJ False False O 
fish False NN False False O 
worked False VBD False False O 
perfectly False RB False False O 
with False IN False False O 
the False DT False False O 
chicken False NN False False O 
enhancing False VBG False False O 
the False DT False False O 
flavour False NNS False False O 
further False RB False False O 
. False . False False O 

A True DT False False O 
perfect False JJ False False O 
savoury False JJ False False O 
dish False NN False False O 
to False TO False False O 
go False VB False False O 
with False IN False False O 
a False DT False False O 
bowl False NN False False O 
of False IN False False O 
rice False NN False False O 
. False . False False O 

I True PRP False False O 
wa False VBD False False O 
hoping False VBG False False O 
that False IN False False O 
I True PRP False False O 
can False MD False False O 
have False VB False False O 
more False JJR False False O 
of False IN False False O 
the False DT False False O 
salted False JJ False False O 
fish False NN False False O 
like False IN False False O 
a False DT False False O 
thick False JJ False False O 
gravy False NN False False O 
. False . False False O 

Black True NNP False False B-F 
Bean True NNP False False I-F 
